index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,City,State,Headquarters State,min_salary,max_salary,avg_salary,company_age,Job Type,Python,Scala,Pyspark,PowerBi
56,senior data scientist,$75.000-$131.000 ,"Benson Hill empowers innovators to develop more healthy, tasty and sustainable food by unlocking the natural genetic diversity of plants. Benson Hill's CropOS platform combines machine learning and big data with breeding techniques and plant biology to drastically accelerate and simplify the product development process. This platform allows for cost-effective and more efficient ways for companies to analyze and make improvements in plant genetics. Benson Hill brings a unique and holistic approach to our product and platform development, as we span a broader workflow involving trait and seed development, genome editing, and breeding all the way to creating better ingredients and varieties that tap a strong consumer demand for more flavorful and nutritious fruits and vegetables. More information can be found online at www.bensonhill.com. Follow us on Twitter at @BensonHillInc.  Our Purpose and Core Values  Our Core Values are a set of common principles we share that are fundamental to our company's identity. Be Bold! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively. Be Inspired! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively. Be Real! We understand who we are, what we want to achieve, and what it takes to get there. We hold each other accountable through timely, candid, and well-intentioned feedback. Together we engage in honest communication and healthy debate that leads to success through true alignment. Department Overview  The Data Science & Platform Engineering Department leads the development of Benson Hill's crop design platform, CropOS which combines machine learning and big data with genome editing and plant biology to accelerate and simplify the product development process. The team partners with the Research & Development teams on the development of a portfolio of offerings (commercial, product, or platform related) that meet the needs of Benson Hill's business units.  Position Summary  We are actively seeking a Senior Data Scientist to join our rapidly growing Research and Development Department. The successful candidate will be responsible for developing and implementing environmental and geospatial models enabling field experimental design and optimization of product performance across testing environments. This person will work closely with Benson Hill data engineers, scientists and project leaders to maximize the impact of Benson Hill's product development programs.  You Will:  (Essential Duties and Responsibilities) Develop and refine geospatial data analysis, storage, and modeling systems. Conduct independent analyses of performance and use advanced approaches to identify predictive models in a geospatial framework. Participate in the design of hypothesis-driven experiments and analyses. Perform spatial and statistical analysis on experimental outputs and interpret results Communicate results in written and visual formats to scientists and program leaders. Identify opportunities for model enhancements and opportunities for new models to create value in the product discovery and testing pipeline. You Have:  Education PhD preferred (minimum BS plus 4 years' experience), in applied mathematics, physics, engineering, statistics, ecology, or closely related field with formal training in statistics and experimental design, with demonstrable track record of peer-reviewed publications. Experience Demonstrated enthusiasm for data-driven discovery. Experience with geospatial analyses, modeling, and interactive system development. Highly developed ability to identify and evaluate predictive models and their utility. Experience with machine learning and statistical concepts, packages and libraries. Background and experience analyzing data with Python, R, or Julia. Expert with at least one scripting language, Python or R preferred. Ability to work in collaborative team, and the ability to respond positively to critiques of work. Excellent communication skills, both electronic and in-person. A track record of producing deliverables and meeting tight release deadlines. Ability to work autonomously, identify key tasks, and find solutions to challenges. Experience organizing and planning complex projects Strong record of personal development and learning new technologies. Software/Skillset Strong understanding of scientific concepts, approaches, application, and interpretation. Demonstrated experience with common machine learning approaches, statistics, geospatial and command line (e.g. R) applications. Other Attention to detail Strong Customer Focus Collaborative Ability to focus and work independently with little direction We have a Total Rewards Package at Benson Hill that consists of more than just your paycheck. Total Rewards at Benson Hill covers Pay (salary and bonus), Health (employer benefit contributions) and Wealth (investments). Some of the perks include: A Collaborative Environment A flexible PTO program with a focus on work/life balance Competitive medical benefits and retirement savings plan FREE Dental and Vision Coverage Education reimbursement PAID parental leave And more.",35.0,Benson Hill3.5,Saint Louis,201-500,2012,Private Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,1 to 5 million ,Saint Louis, MO, MO,75,131,103.0,12,Senior,1,0,0,0
282,data scientist,$91.000-$150.000 ,"Greetings from Trovetechs!!!  �  We have an immediate need for Data Scientist Role @ San Francisco, CA. Please find the below Job Description for your kind reference.  �  Duration: Long term Contract  Experience: 8+ Years  Rate: DOE$/hr.  �  Job Description:  1. Apply a deep understanding of technology innovation to solve complex. ambiguous, and novel problems.  2. Contribute to evolving multiple research pipelines  3. Implement new algorithms to enhance simulations and inference pipelines.  4. Enhance code efficiency through design, testing, and documentation,  5. Collaborate with other data science teams: Signal processing, deep learning and bioinformatics  6. Support the Statistical Modeling team discussions by demonstrating technology with compelling and clear communications Experience with TensorFlow-Probability, or another probabilistic framework is a big plus.  8. Experience in genomics  9. Experience with cloud computing  10. Experience building robust, scalable software products.  11. Fluency with modern software engineering practices: version control, code reviews, automated testing, etc.  �  If you are interested, please send us your updated resume along with best Time & Number to reach you ASAP.  �  Thanks and look forward to working with you,",38.84,Trovetechs Inc,Hillsborough,Unknown,2024,Private Company,Not Available,Not Available,N/A ,San Francisco, CA, NJ,91,150,120.5,0,NA,0,0,0,0
74,purification scientist,$79.000-$131.000 ,"New England Biolabs (NEB) is seeking highly motivated and detail-oriented individual for a downstream protein manufacturing role as a Purification Scientist in a laboratory equipped with cutting edge technologies. The successful candidate will execute downstream processes and perform in-process analytics. This role requires working in a fast-paced and collaborative environment to provide the highest quality products to the scientific community.  Primary Responsibilities: Program, operate, and troubleshoot purification equipment at small/pilot scale using the GE AKTA platform including AKTA PURE, Pilot, Process, as well as Tangential Flow Filtration and Inline Buffer Dilution Skids Represent commercial manufacturing needs in close working interaction with internal process development and management Perform and analyze numerous in process enzymatic and DNA assays required during the purification process to develop pooling protocols Apply creative problem solving to downstream processes to perform tasks more efficiently and effectively Maintain accurate records. Effectively organize, interpret and present data to colleagues, cross functional teams and senior leadership Advocate for new biopharma and information technologies to help advance downstream manufacturing Required Qualifications and Experience: Bachelor�s or advanced degree in Biology, Biochemistry, or a related field Minimum 3 years of industry experience Extensive knowledge of chromatography techniques including IEX, affinity, HIC, SEC and MMC Hands on experience with downstream processing equipment and protocols including sanitization, general operation, troubleshooting, and associated manufacturing tasks Experience operating protein purification equipment and knowledge of Unicorn software Familiarity with techniques such as SDS PAGE, restriction digestion, capillary electrophoresis-based RNA, DNA and protein assays Demonstrate precise bench skills to produce consistent and dependable data Exceptional attention to detail and passion for problem solving with a developed sense of ownership and responsibility Working knowledge of microbial fermentation and upstream processing a plus New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.  If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",49.0,New England Biolabs4.9,Ipswich,201-500,1974,Private Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,N/A ,Ipswich, MA, MA,79,131,105.0,50,NA,0,0,0,0
177,"data scientist - statistics, early career",$56.000-$97.000 ,"*Organization and Job ID** Job ID: 310918  Directorate: National Security Directorate  Division: Computing & Analytics  Group: Applied Statistics & Computational Modeling *Job Description** This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.  Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.  Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces. *The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:** *Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance. *Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities *Minimum Qualifications** + BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience *Preferred Qualifications** + BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility  + Position requires ability to apply theories and develop technical approaches with minimal oversight  + Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems *Equal Employment Opportunity** Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov. *_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._** *Other Information** Due to business needs and client space, US Citizenship is required:  The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.  _Directorate:_ _National Security_  _Job Category:_ _Scientists/Scientific Support_  _Group:_ _Appld Stats & Comp Modeling_  _Opening Date:_ _2020-06-03_  _Closing Date:_ _2020-09-01_",37.0,PNNL3.7,Richland,1001-5000,1965,Government,Energy,"Oil, Gas, Energy and Utilities",500 million to 1 billion ,Richland, WA, WA,56,97,76.5,59,NA,0,0,0,0
457,data scientist,$69.000-$116.000 ,"Work in a fast growing startup with unlimited opportunity and lots of room for growth and advancement. Were on a mission to simply residential real estate transactions nationwide by bringing world-class software, data science, and design to an age-old industry.  Were seeking an exceptional Data Scientist to join us in building data products at the core of the company. We build valuation models, predictive modeling infrastructure, and lead growth experiments. Day to day, its a mix of machine learning, crowdsourcing, exploratory data analysis, feature extraction, and software engineering.  As a Data Scientist you will: Improve our industry-leading home valuation model using millions of real-estate transactions and complementary datasets. Rapidly prototype features and predictive models. Build ML pipelines in production. Identify, research, and analyze new data sources to improve model accuracy. Become a domain expert in real-estate. Coordinate with product, engineering, and operations to understand impact and trade-offs of modeling improvements.  Were looking for teammates who bring: Commitment to rigorous analysis and production-quality code Passion for building solid data infrastructure A love of tackling complexity in real-world datasets such geo data and transaction data Experience in one of Python, R, Java, Scala, Julia; if R or Julia, candidate must be able to make algorithms scale Familiarity with basic classes of ML algorithms, concepts in feature extraction and selection Ability and desire to communicate your analysis with clarity and precision Resourcefulness and pragmatism Bonus points: Competition experience in data mining or machine learning You love delighting customers with honest, transparent products and experiences",38.84,Stride Search,Westlake Village,1-50,2024,Private Company,Not Available,Not Available,Less than 1 million ,San Francisco, CA, CA,69,116,92.5,0,NA,1,1,0,0
662,data scientist,$105.000-$167.000 ,"Solution IT Inc. is looking for an Data Scientist for one of its clients in Edison, NJ NC Job Title Data Scientist Responsibilities Must have recent 2-3 projects of Data Science experience. Should have experience with following skills Data Science Machine Learning Statistics Predictive Modeling Data Visualization Bachelorrsquos degree in Computer Science or Computer Information Systems or its equivalent with relevant experience Work Sites Edison, NJ NC Duration 6-9+ Months Expected Start Date Immediate Number of Positions 1 Please send your responses back to contractssolutionit.com mailtorecruitingsolutionit.com About Solution IT Solution IT is a national IT consulting company specializing in Technology Staffing and Oracle E-Business Solutions based in Boston, Massachusetts. Thanks Recruiting Team SOLUTION IT INC Work 781-503-1700 URL httpsolutionit.com httpsolutionit.com",44.0,"SolutionIT, Inc.4.4",Wilmington,51-200,2024,Private Company,Not Available,Not Available,N/A ,Edison, NJ, MA,105,167,136.0,0,NA,0,0,0,0
19,medical lab scientist,$137.000-$171.000 ,"Responsibilities   The Medical Laboratory Scientist is responsible for obtaining or receiving specimens, performing clinical laboratory tests by standardized procedures, understanding method principles, performing quality control, performing preventive maintenance, and interpreting results accurately, acceptably and within critical limits. The MLS works independently, organizing work to meet established deadlines and validates all data obtained.  Qualifications Bachelor's Degree: Baccalaureate Degree in Medical Technology, Clinical Laboratory Science, Medical Laboratory Science or related science (Required) Minimum of 1 year of experience Certification and Licensure Requirements. MLS (ASCP) (Preferred) 3p-1130p 2-Evening",35.0,Tower Health3.5,Reading,5001-10000,2017,Nonprofit Organization,Health Care Services and Hospitals,Health Care,N/A ,West Grove, PA, PA,137,171,154.0,7,NA,0,0,0,0
145,research scientist patient preferences (remote),$90.000-$109.000 ,"*We would ideally like this position to be based in Bethesda, MD or London, UK; however, remote opportunities are available based on experience. Position Summary As a Research Scientist, you will be an independent PI, with scientific and strategic responsibility for preference and/or multi-criteria decision analysis studies (MCDA) projects; delegating project management tasks to more junior scientific staff. You will oversee and participate in a large project portfolio, innovate scientifically, produces output of high scientific quality, and assume significant responsibilities for sales targets and client development. You would be joining a fast growing, successful team, operating at the cutting edge of the science of incorporating stakeholder preferences into health care decision making. We have developed an innovative, collaborative culture, aimed at developing and sharing good practice in preference research, both internally and externally. We are looking for someone who will thrive as a leading member of this team, shaping our science, and with the relationships and reputation to boost our sales. Key Skills and Attributes Deep and demonstrated understanding of preference elicitation techniques, such as discrete choice experiments (DCE), best-worst scaling (BWS), or swing weighting. Knowledge of relevant regulatory requirements and guidelines. Understanding of the pharmaceutical industry. Strong analytical and problem-solving skills Ability to direct large portfolio of projects in terms of dollar volume and number of projects. Able to provide oversight, management, and mentoring to more junior staff. Excellent ability to develop and maintain client relationships. Excellent written and oral communication skills: scientific, professional, and consulting. Ability to develop positive, collegial, and productive relationships with colleagues and clients. Excellent time management and logistic skills to be highly effective in fast-paced, deadline-driven work environment. Job Responsibilities Science Leads studies of high scientific quality, presenting scientific work in peer-reviewed journals and at professional meetings Provides scientific leadership to team members, and contributes to the development of the way that preference methods are delivered by the team. Strategy/Consulting Develops and maintains client relationships. Identifies scientific methods/plans that help clients meet their goals. Helps clients prepare for regulatory meetings and attend regulatory meetings with clients as requested. Financial & Business Development Brings in proposal leads. Writes proposals and managing proposal writing process. Closes sales. Project Management Responsible for ensuring client timelines are met. Responsible for ensuring project does not to exceed contracted budget. PCR Operations Support Supervises mid- level scientific staff. Develops and presents internal scientific trainings. Participates in staff recruitment efforts (phone screening, interviewing, attending presentations, etc.). Conforms to SOPs and other requirements. Actively supports new product development and scientific innovation. Education Level/Years of Experience Doctorate in scientific discipline and more than one year experience in relevant field; or Master�s degree in scientific discipline and more than 5 years� experience in relevant field Computer programming or software skills required for position MS Word, PPT, Excel; familiarity with SAS or similar data analysis software  About Evidera: Evidera is a business within in Pharmaceutical Product Development, LLC (PPD) a leading global contract research organization (CRO), and a is a preeminent provider of evidence-based solutions. We provide integrated scientific expertise and global operational capabilities to help clients generate the evidence needed to optimize the market access and commercial potential of products.  Perks: We offer a competitive salary and benefits package, with clear opportunities for growth and career progression. You will have the opportunity to work on multiple projects with some of the industry�s leading researchers. Our offices boast a fun and collaborative working environment, frequent social events and a robust support system. We are committed to providing training and professional development, with ample opportunity to advance, for all our staff. Evidera�s Core Competencies: Customer Focus Initiative Teamwork Problem Solving/Judgment Accountability If you resonate with our core competencies and want to contribute to research and consulting services driven by world-class science and thought leadership, then please submit your application � we�d love to hear from you. Evidera, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, genetics, sexual orientation, gender preference,disability, or status as a qualified individual with a disability or protected veteran.",38.0,Evidera3.8,Bethesda,501-1000,2013,Business,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,100 to 500 million ,Bethesda, MD, MD,90,109,99.5,11,NA,0,0,0,0
157,experienced data scientist,$101.000-$165.000 ,"*******Please Apply using this link: https://app.smartsheet.com/b/form/2cb8018ed6a041b0870e3cd056c286ab Our Focus In aviation safety, we seek to minimize the potential for harm to the flying public. To support this effort, we collect vast amounts of operational and simulation data. How can we use statistical analyses and data science to analyze this data and effect meaningful change to aviation safety? If this sounds interesting to you, GGTI seeks a Data Scientist to join its Data Science & Analytics Team. What�s the Job? � Preprocessing, cleansing, and verifying integrity of data that can be provided as input for advanced analytics � Ad-hoc analysis and presentations of results for technical and non-technical audiences � Feature selection, model building and optimization using machine learning techniques � Building regression, classification, association models � Building anomaly detection systems About You You are an experienced Data Scientist with an advanced degree in a quantitative discipline. You will be able to discover information hidden in vast amounts of aviation data, including operation and simulated data, and provide recommendations to managements at various levels. Along with working with air traffic domain experts, you will be able to apply data mining techniques, perform statistical analyses, and build high quality predictive models and causal analyses of safety issues. You can analyze large, complex, multi-dimensional datasets with R and/or Python and Business Intelligence (BI) tools such as Tableau. In addition, you have some familiarity with SQL. What do you need to qualify? * � 10+ years of professional work experience in a quantitative field � A Ph.D. or Master�s Degree in operations research, applied statistics, Computer Science (data mining, machine learning stream) or a related quantitative discipline � Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms � Excellent applied statistics skills, such as distributions, statistical testing, regression, etc. � Excellent understanding of common machine learning techniques and algorithms, such as K-means, k-NN, Bayesian Networks, SVM, Decision trees, ensemble methods etc. � Experience with common data science toolkits, such as Python, R, Weka, NumPy, MatLab, etc. Proficiency in at least one of these (preferably Python) � Experience with data visualization tools, such as D3.js, Tableau etc. � Experience with Amazon Web Services � Some experience with NoSQL databases, such as MongoDB, Cassandra, or HBase � Ability to pass a Federal Government background investigation to obtain a Public Trust clearance. � Current U.S. Citizen/Green Card-holder Stand-out Skills Deep learning with TensorFlow, Torch, or similar Spark, Hadoop, or similar SQL, Java or C/C++. *******Please Apply using this link: https://app.smartsheet.com/b/form/2cb8018ed6a041b0870e3cd056c286ab",44.0,Guzman & Griffin Technologies (GGTI)4.4,Mays Landing,1-50,1997,Private Company,Federal Agencies,Government,N/A ,Washington, DC, NJ,101,165,133.0,27,NA,1,0,0,0
303,data scientist,$145.000-$225.000,"Role Description As a data scientist at Triplebyte, you�ll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You�ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists. Fields your work will touch on Psychometrics Recommender systems Time series analysis Survival analysis Bayesian inference Probabilistic programming This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.  About Triplebyte Triplebyte is a hiring marketplace used by companies like Apple, Dropbox, Stripe, and Instacart to hire the best technical talent. We are on a mission to build a meritocratic hiring process, and we do all our evaluation background blind. Our ultimate goal is to collect the largest dataset and use this to build the world's best technical hiring process. No other company has successfully done what we're doing in this field. We are growing extremely quickly, working on a problem that is fundamental, sitting at the crossroads between the workforce and employers. Ten years from now, it'll look silly to use anything other than Triplebyte for technical hiring. Company Culture We have a laid-back, friendly office culture. Over lunch you'll often find us discussing the latest in technology, books, and pop culture, and then maybe getting in a quick game of chess or babyfoot (foosball). Since we're an early-stage company, we move fast, and it's important that each member of our team is able to take ownership of projects by defining problems, brainstorming solutions, and running experiments.",32.0,Triplebyte3.2,San Francisco,51-200,2015,Private Company,Computer Hardware and Software,Information Technology,N/A ,Chicago, IL, CA,145,225,185.0,9,NA,0,0,0,0
